sha,author_id,committer_id,message_label,parents_sha,commit_date
6659da4b5dc7cf9a03dc5fc74fc34bcde9eab7eb,10647082,19864447,CI,42a26ac539ac9a194f6e7da0897ffc938b7d7e76,2022-01-25
42a26ac539ac9a194f6e7da0897ffc938b7d7e76,24256554,19864447,DOC,4248b23371a70b339a2c16b8e5caca9c2e5897f8,2022-01-25
4248b23371a70b339a2c16b8e5caca9c2e5897f8,8078968,19864447,ENH,1fd31bdbf1706fbd8417e9a438cb01632373d76d,2022-01-25
1fd31bdbf1706fbd8417e9a438cb01632373d76d,8078968,19864447,REF,011f1160cba5e714bd3b6046bfe9db1bfa17c76f,2022-01-25
011f1160cba5e714bd3b6046bfe9db1bfa17c76f,10647082,19864447,TST/CI,573805782558885b04efc59a49ff3090ca783ef5,2022-01-25
573805782558885b04efc59a49ff3090ca783ef5,10647082,19864447,CI,ea2b0fdc64d2a7d28b5e622d9617d7236374fbbe,2022-01-25
ea2b0fdc64d2a7d28b5e622d9617d7236374fbbe,10647082,19864447,CI,5f8df6b83e4242060d2870ec4974fc79bdbbfbaf,2022-01-24
5f8df6b83e4242060d2870ec4974fc79bdbbfbaf,24376333,19864447,BUG,7451de8607fafebcfda76f84d5746f8fe688cdb6,2022-01-24
7451de8607fafebcfda76f84d5746f8fe688cdb6,46936498,19864447,TST,e1aed9ce67cebea97e62bd54ed71376dc523871b,2022-01-24
e1aed9ce67cebea97e62bd54ed71376dc523871b,10647082,19864447,CI,8e504d69fa6ec4c35a38b2481e899f737823a114,2022-01-24
8e504d69fa6ec4c35a38b2481e899f737823a114,50960175,19864447,Update,cbe40d5e6e6c982631b4727c4983e0d4fd54b107,2022-01-24
cbe40d5e6e6c982631b4727c4983e0d4fd54b107,65579489,19864447,DOC,93f7968b8b0208c3f328cd0ae099656f2a13b53f,2022-01-24
93f7968b8b0208c3f328cd0ae099656f2a13b53f,1020496,19864447,DOC/WEB,12475e00c0d683673ecd32c4d6cf854da2fcd342,2022-01-24
12475e00c0d683673ecd32c4d6cf854da2fcd342,1020496,19864447,BUG,24e360a0f7e3b19acdd0d10f63d244445fdf5913,2022-01-24
24e360a0f7e3b19acdd0d10f63d244445fdf5913,47963215,19864447,BUG,991fc275994bfc076eb6f3495e7e9dd404b9e08d,2022-01-24
991fc275994bfc076eb6f3495e7e9dd404b9e08d,10647082,19864447,REF,642ef169759f6ab028565e542e6162e519be50e8,2022-01-24
642ef169759f6ab028565e542e6162e519be50e8,20457332,19864447,Fixes,4f712c1c48803650e2be8a3bac9d3cfc047b3da6,2022-01-23
4f712c1c48803650e2be8a3bac9d3cfc047b3da6,8078968,19864447,PERF,e2b7c3413c9ce40aaf016d4a4480b11b1d6c9ce6,2022-01-23
e2b7c3413c9ce40aaf016d4a4480b11b1d6c9ce6,47963215,19864447,TST,d2d7ffb56f0f12c412c36c0c867ab3bb240d04ca,2022-01-23
d2d7ffb56f0f12c412c36c0c867ab3bb240d04ca,13602663,19864447,ENH,9009b3832a0e0ca808a742f9b2ae48e64986bd45,2022-01-23
9009b3832a0e0ca808a742f9b2ae48e64986bd45,8078968,19864447,BUG,b9f9b7455afe6e409d8a0860078f73d7755f4149,2022-01-23
b9f9b7455afe6e409d8a0860078f73d7755f4149,8078968,19864447,BUG,2db3b0a0378487e269997700b14777af70838e95,2022-01-23
2db3b0a0378487e269997700b14777af70838e95,10647082,19864447,CI,ddac616f13c11b9dd50164f0e419b3d0063a4835,2022-01-23
ddac616f13c11b9dd50164f0e419b3d0063a4835,23437545,19864447,BLD,6cf8880c16a17000f4d7c57fce942919cfdf2346,2022-01-23
6cf8880c16a17000f4d7c57fce942919cfdf2346,8078968,19864447,REF,acd7218f67fbe31308db7482e11fb9c8f30b51a8,2022-01-23
acd7218f67fbe31308db7482e11fb9c8f30b51a8,10647082,19864447,DEPR,90e512feef4fac3f82b1d5b96feaff6a1974f347,2022-01-23
90e512feef4fac3f82b1d5b96feaff6a1974f347,8519523,19864447,PERF,a15ca9755f8e43f9208771f72794e7dd01af92ff,2022-01-23
a15ca9755f8e43f9208771f72794e7dd01af92ff,20457332,19864447,closes,aeaca2fedf47e5f5bf30891528c113b7e6d93249,2022-01-23
aeaca2fedf47e5f5bf30891528c113b7e6d93249,53762848,19864447,test,94fbed6e7c759b7a5654a0b3d6a98b0db987d969,2022-01-23
94fbed6e7c759b7a5654a0b3d6a98b0db987d969,46936498,19864447,TST,45257d18e4eae68f4ecec91980f5f3cb8d4911d8,2022-01-23
45257d18e4eae68f4ecec91980f5f3cb8d4911d8,46936498,19864447,TST,5b07b5305884b74594464ffeaaf5b2ed7bae674c,2022-01-23
5b07b5305884b74594464ffeaaf5b2ed7bae674c,8078968,19864447,REGR,490c586b937ab72f3f68371b0127d7d189b9e027,2022-01-23
490c586b937ab72f3f68371b0127d7d189b9e027,8078968,19864447,CI,3c50dee9941f215b8fd9822dfb22237897ab9f9b,2022-01-22
3c50dee9941f215b8fd9822dfb22237897ab9f9b,13159005,19864447,WEB,90ea5512b5422ff94e2dfd09d65e0f1830547b7e,2022-01-22
90ea5512b5422ff94e2dfd09d65e0f1830547b7e,61934744,19864447,Bug,ce8fae0d05757c5a3777ce796e37d5aa82e0add0,2022-01-22
ce8fae0d05757c5a3777ce796e37d5aa82e0add0,6618166,19864447,CI,4910211fd5a9a2bb517311e8d496d5cdeb2efac2,2022-01-22
4910211fd5a9a2bb517311e8d496d5cdeb2efac2,13159005,19864447,DOC,84568339d26451009a3269aafae9cc8ca39a1d72,2022-01-22
84568339d26451009a3269aafae9cc8ca39a1d72,52132110,19864447,Bug,a550e20186f2c5dfacdef478d4dd85fe073feee9,2022-01-22
a550e20186f2c5dfacdef478d4dd85fe073feee9,52872807,19864447,Ko,4e3d691a5d127092dd490b9b199d6eb2b7c06e64,2022-01-22
4e3d691a5d127092dd490b9b199d6eb2b7c06e64,4315490,19864447,BUG,9e4c59ba415172462da104df8531976fa951cf52,2022-01-22
9e4c59ba415172462da104df8531976fa951cf52,8078968,19864447,REF,4e737e7264c52a449d33a2bfb8cdbc6bc097aa7b,2022-01-22
4e737e7264c52a449d33a2bfb8cdbc6bc097aa7b,8078968,19864447,REF,5f4a09d64dcee3306af9f7d6b0681b97f26d5bf3,2022-01-22
5f4a09d64dcee3306af9f7d6b0681b97f26d5bf3,10647082,19864447,ENH,4fff1c9f3d3e5c298a7c4c0664d11df5535117ce,2022-01-22
4fff1c9f3d3e5c298a7c4c0664d11df5535117ce,8078968,19864447,PERF,3510b1fd2a9cf752638f4af751bdeb33496db766,2022-01-22
3510b1fd2a9cf752638f4af751bdeb33496db766,8078968,19864447,BUG,f7a41b41f5483332d33055ac3275d497a059b4b7,2022-01-22
f7a41b41f5483332d33055ac3275d497a059b4b7,8078968,19864447,BUG,b0e3b3392bb53e4f78737f9182b6163d13cfb879,2022-01-22
b0e3b3392bb53e4f78737f9182b6163d13cfb879,8078968,19864447,REF,7dbfe9f95a31aa01dc8288350e785f04a2abf6f0,2022-01-22
7dbfe9f95a31aa01dc8288350e785f04a2abf6f0,8927258,19864447,ENH,243b5bca9a681241a6ca4fb201afbac764dada49,2022-01-22
243b5bca9a681241a6ca4fb201afbac764dada49,25401444,19864447,DOC,235113e67065320b3ec0176421d5c397d30ad886,2022-01-21
235113e67065320b3ec0176421d5c397d30ad886,61934744,19864447,PERF,461772af9bc8c4899f7af5639c69cc93d87e6f1b,2022-01-21
461772af9bc8c4899f7af5639c69cc93d87e6f1b,1020496,19864447,DEPR,c556a04a9739479790c0dab0c2342d5079d67628,2022-01-21
c556a04a9739479790c0dab0c2342d5079d67628,25847554,19864447,Change,2e157c04e10b73478f43a9fecace8169862959d1,2022-01-21
2e157c04e10b73478f43a9fecace8169862959d1,123428,19864447,Rename,a0b40c0f2ad73420a54e48ec4f564b9667e3f452,2022-01-21
a0b40c0f2ad73420a54e48ec4f564b9667e3f452,1020496,19864447,EA,f244ee9d225ec56d912da33a2bee671939c80f01,2022-01-21
f244ee9d225ec56d912da33a2bee671939c80f01,1020496,19864447,REGR,d68d050672e791230bac39d01ad2e0847d7be8ce,2022-01-21
d68d050672e791230bac39d01ad2e0847d7be8ce,13159005,19864447,DOC,fefccfe10a34d244ec1df0bba5792fbc894c4402,2022-01-21
fefccfe10a34d244ec1df0bba5792fbc894c4402,13159005,19864447,DOC,44cde194c0bb58e9c170466a392f99015faea919,2022-01-21
44cde194c0bb58e9c170466a392f99015faea919,61934744,19864447,REGR,b2da0a7d355b9867bcd4d194d7a210a28d2da9bf,2022-01-21
b2da0a7d355b9867bcd4d194d7a210a28d2da9bf,1020496,19864447,DEPR,3418679ae6556b63966b0dfa67d6a0cc4a5f03e5,2022-01-21
3418679ae6556b63966b0dfa67d6a0cc4a5f03e5,7614606,19864447,BUG,04f5721617a622912f493f42f160139e073d0c2f,2022-01-20
04f5721617a622912f493f42f160139e073d0c2f,1020496,19864447,Add,3ac8543dcf3dc2a61945be3bba3855165ef396d7,2022-01-20
3ac8543dcf3dc2a61945be3bba3855165ef396d7,1020496,19864447,DEPR,91d3f0b2467e045523358b493789b73b405967e9,2022-01-20
91d3f0b2467e045523358b493789b73b405967e9,219174,19864447,Small,6b43a78f2f1036ebae205d2d35ab96f07549fe96,2022-01-19
6b43a78f2f1036ebae205d2d35ab96f07549fe96,8078968,19864447,REF,4ce84de5250aafa706d4c7610fdefad0baf37acf,2022-01-19
4ce84de5250aafa706d4c7610fdefad0baf37acf,7614606,19864447,CLN,53c8e1dd058a83653d90310a3c349cdef108c275,2022-01-19
53c8e1dd058a83653d90310a3c349cdef108c275,447049,19864447,removes,b8cce91ee7bcc86877d4679cd8a9454b5995c2c6,2022-01-19
b8cce91ee7bcc86877d4679cd8a9454b5995c2c6,17513912,19864447,BUG,a474af5b4526dc333f62260587a1d8ef494df57c,2022-01-19
a474af5b4526dc333f62260587a1d8ef494df57c,8078968,19864447,BUG,b4e578db857f0705144a56eac0ab65d6fb0a8760,2022-01-19
b4e578db857f0705144a56eac0ab65d6fb0a8760,10647082,19864447,CI/TST,14e09c47d55c07672d127b34e25018e89549c124,2022-01-19
